Player_id, Player_name, Player_team1, Appearances1, Player_team2, Appearances2
33704,Jordan Rhodes,21,14
26013,Mame Biram Diouf,96,48
29832,Ben Hamer,14,25
316536,Luke Dreher,162,1
70493,Luka Milivojevic,162,31
252285,Thomas Robson,16,2
42916,Ki Sung-yueng,259,35
136776,Matt Targett,18,10
8773,Gareth McAuley,175,47
14255,Stefano Okaka,27,27
80767,Philippe Coutinho,26,42
301029,Cameron Carter-Vickers,30,17
12187,Mousa Dembele,30,44
333311,Thomas Edwards,96,7
97752,Paul Pogba,32,39
135179,Joel Coleman,166,10
97692,Raheem Sterling,167,51
123481,Mario Lemina,18,14
93577,Ahmed Musa,14,32
69609,Jan Kirchhoff,16,7
32741,Abel Hernandez,214,26
102248,Emiliano Martinez,13,5
29798,Ryan Shawcross,96,47
34214,Lamine Kone,16,31
6695,Jonas Olsson,175,27
93473,Robbie Brady,184,30
104749,Riyad Mahrez,14,53
8176,Dean Whitehead,166,6
294139,Luis Hernandez,14,15
124316,Calum Chambers,13,4,21,26
118303,Sam Byram,29,28
5641,Stewart Downing,21,37
25241,Craig Cathcart,27,21
25244,Alexis Sanchez,13,52
52197,Simon Mignolet,26,54
288783,Greg Luer,214,2
42705,Wilfried Bony,259,10,96,18
105720,Nick Pope,184,28
302862,Jack Simpson,183,2
90907,Tom Carroll,259,34,30,1
4511,James Milner,26,53
70033,Daley Blind,32,47
35003,Chicharito,29,13
302313,Daniel James,259,1
302312,Joe Rodon,259,1
67424,Grzegorz Krychowiak,175,14
21814,Adam Legzdins,184,2
136457,Demetri Mitchell,32,3
69738,Francis Coquelin,13,49
141486,Jacob Murphy,23,17
97803,Michy Batshuayi,15,51
91879,Carl Jenkinson,13,2
234363,Sofiane Boufal,18,40
101862,Viktor Fischer,21,24
31451,Lucas Leiva,26,35
14000,Marc Pugh,183,39
349891,Nathan Ferguson,175,1
338119,Samuel Shashoua,30,1
117973,Eric Dier,30,54
104732,Paulo Gazzaniga,30,1
333888,Ben Wynter,162,1
21499,Jose Holebas,27,47
14199,Claudio Bravo,167,47
86441,Lewis Dunk,211,17
303743,Josh Tymon,214,17,96,5
22820,Dieudonne Mbokani Bezua,214,17
24400,Cristhian Stuani,21,31
84008,Marcos Alonso,15,51
330818,Ben Woodburn,26,18
38577,Alex McCarthy,18,25
12417,Grant Leadbitter,21,26
249848,Dion Henry,162,1
90996,Collin Quaner,166,12
136451,Joseph Gomez,26,20
79554,David de Gea,32,52
8484,Curtis Davies,214,28
136456,Lewis Cook,183,24
136455,Josh Onomah,30,15
25832,Troy Deeney,27,51
251136,Luke McGee,30,2
338500,Daniel Kemp,29,1
136459,Dominic Solanke,26,16,15,1
145427,Pau Lopez,30,5
25931,Cesar Azpilicueta,15,55
