"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Chris Lowe",4000,"HUD vs STK 10:00AM ET",4.750,"HUD"
"D","Josh Tymon",4000,"HUD vs STK 10:00AM ET",4.000,"STK"
"GK","Nick Pope",4000,"MU vs BUR 10:00AM ET",10.800,"BUR"
"M/F","Jonathan Walters",4000,"MU vs BUR 10:00AM ET",0.875,"BUR"
"D","Cedric Soares",4000,"TOT vs SOU 07:30AM ET",7.237,"SOU"
"M","Steven Davis",4000,"TOT vs SOU 07:30AM ET",6.773,"SOU"
"F","Shane Long",4000,"TOT vs SOU 07:30AM ET",4.028,"SOU"
"M/F","Andre Carrillo",4000,"WAT vs LEI 10:00AM ET",3.917,"WAT"
"F","Ahmed Musa",4000,"WAT vs LEI 10:00AM ET",0.500,"LEI"
"D","Cuco Martina",4000,"WBA vs EVE 10:00AM ET",4.729,"EVE"
"M","Andrew Surman",3900,"BOU vs WHU 10:00AM ET",6.313,"BOU"
"D","Markus Suttner",3900,"CHE vs BHA 10:00AM ET",4.833,"BHA"
"M/F","Jamie Murphy",3900,"CHE vs BHA 10:00AM ET",2.125,"BHA"
"D","Tommy Smith",3900,"HUD vs STK 10:00AM ET",5.518,"HUD"
"GK","Tom Heaton",3900,"MU vs BUR 10:00AM ET",3.250,"BUR"
"GK","Anders Lindegaard",3900,"MU vs BUR 10:00AM ET",0,"BUR"
"D","Eric Bailly",3900,"MU vs BUR 10:00AM ET",5.365,"MU"
"GK","Fraser Forster",3900,"TOT vs SOU 07:30AM ET",7.111,"SOU"
"D","Jeremy Pied",3900,"TOT vs SOU 07:30AM ET",9.500,"SOU"
"M","Sofiane Boufal",3900,"TOT vs SOU 07:30AM ET",4.946,"SOU"
"F","Leonardo Ulloa",3900,"WAT vs LEI 10:00AM ET",0.000,"LEI"
"D","Pablo Zabaleta",3800,"BOU vs WHU 10:00AM ET",5.868,"WHU"
"M","Marc Pugh",3800,"BOU vs WHU 10:00AM ET",4.000,"BOU"
"D","Antonio Rudiger",3800,"CHE vs BHA 10:00AM ET",4.342,"CHE"
"F","Jose Izquierdo",3800,"CHE vs BHA 10:00AM ET",3.857,"BHA"
"GK","Alex McCarthy",3800,"TOT vs SOU 07:30AM ET",0,"SOU"
"M","Grzegorz Krychowiak",3800,"WBA vs EVE 10:00AM ET",5.679,"WBA"
"D","Sam Byram",3700,"BOU vs WHU 10:00AM ET",0,"WHU"
"GK","Mat Ryan",3700,"CHE vs BHA 10:00AM ET",5.979,"BHA"
"D","Ales Mateju",3700,"CHE vs BHA 10:00AM ET",0,"BHA"
"M/F","Luciano Narsingh",3700,"LIV vs SWA 12:30PM ET",2.333,"SWA"
"D","Stephen Ward",3700,"MU vs BUR 10:00AM ET",6.924,"BUR"
"D","Phil Jones",3700,"MU vs BUR 10:00AM ET",4.617,"MU"
"M","Scott Arfield",3700,"MU vs BUR 10:00AM ET",5.818,"BUR"
"D","Jan Vertonghen",3700,"TOT vs SOU 07:30AM ET",5.913,"TOT"
"D","Matt Targett",3700,"TOT vs SOU 07:30AM ET",0,"SOU"
"D","Brad Smith",3600,"BOU vs WHU 10:00AM ET",2.000,"BOU"
"F","Matt Butcher",3600,"BOU vs WHU 10:00AM ET",0,"BOU"
"GK","Tim Krul",3600,"CHE vs BHA 10:00AM ET",0,"BHA"
"D","Gary Cahill",3600,"CHE vs BHA 10:00AM ET",3.057,"CHE"
"F","Isaiah Brown",3600,"CHE vs BHA 10:00AM ET",1.104,"BHA"
"F","Sam Baldock",3600,"CHE vs BHA 10:00AM ET",0,"BHA"
"F","James Tilley",3600,"CHE vs BHA 10:00AM ET",0,"BHA"
"F","Aaron Connolly",3600,"CHE vs BHA 10:00AM ET",0,"BHA"
"D","Thomas Edwards",3600,"HUD vs STK 10:00AM ET",1.875,"STK"
"F","Elias Kachunga",3600,"HUD vs STK 10:00AM ET",5.765,"HUD"
"F","Julien Ngoy",3600,"HUD vs STK 10:00AM ET",0,"STK"
"F","Thibaud Verlinden",3600,"HUD vs STK 10:00AM ET",0,"STK"
"GK","Lukasz Fabianski",3600,"LIV vs SWA 12:30PM ET",7.816,"SWA"
"D","Kyle Naughton",3600,"LIV vs SWA 12:30PM ET",6.618,"SWA"
"D","Joel Matip",3600,"LIV vs SWA 12:30PM ET",4.816,"LIV"
"M","Nathan Dyer",3600,"LIV vs SWA 12:30PM ET",3.250,"SWA"
"M","Georginio Wijnaldum",3600,"LIV vs SWA 12:30PM ET",3.944,"LIV"
"F","Oliver McBurnie",3600,"LIV vs SWA 12:30PM ET",0.821,"SWA"
"F","Rhian Brewster",3600,"LIV vs SWA 12:30PM ET",0,"LIV"
"D","Chris Smalling",3600,"MU vs BUR 10:00AM ET",3.579,"MU"
"M","Ander Herrera",3600,"MU vs BUR 10:00AM ET",4.013,"MU"
"F","Nahki Wells",3600,"MU vs BUR 10:00AM ET",0,"BUR"
"D","Sam McQueen",3600,"TOT vs SOU 07:30AM ET",0.167,"SOU"
"F","Kazaiah Sterling",3600,"TOT vs SOU 07:30AM ET",0.000,"TOT"
"F","Michael Folivi",3600,"WAT vs LEI 10:00AM ET",0,"WAT"
"D","Kieran Gibbs",3600,"WBA vs EVE 10:00AM ET",4.917,"WBA"
"F","Rayhaan Tulloch",3600,"WBA vs EVE 10:00AM ET",0,"WBA"
"F","Shayne Lavery",3600,"WBA vs EVE 10:00AM ET",0,"EVE"
"GK","Adam Federici",3500,"BOU vs WHU 10:00AM ET",0,"BOU"
"GK","Aaron Ramsdale",3500,"BOU vs WHU 10:00AM ET",0,"BOU"
"GK","Nathan Trott",3500,"BOU vs WHU 10:00AM ET",0,"WHU"
"GK","Niki Maenpaa",3500,"CHE vs BHA 10:00AM ET",0,"BHA"
"GK"," Eduardo",3500,"CHE vs BHA 10:00AM ET",0,"CHE"
"D","Andreas Christensen",3500,"CHE vs BHA 10:00AM ET",3.025,"CHE"
"M","N'Golo Kante",3500,"CHE vs BHA 10:00AM ET",4.898,"CHE"
"GK","Robert Green",3500,"HUD vs STK 10:00AM ET",0,"HUD"
"GK","Jakob Haugaard",3500,"HUD vs STK 10:00AM ET",0,"STK"
"D","Kurt Zouma",3500,"HUD vs STK 10:00AM ET",5.391,"STK"
