Player_id, won_contest, accurate_pass, touch_factor, aerial_won, saves, total_tackle_opp, yellow_card_opp, red_card_opp, goals, assists
32018,4.0,510.0,1.57164847865,25.0,0.0,38.0,4.0,0.0,1.0,0.0
260451,0.0,7.0,0.0279329608939,0.0,0.0,1.0,0.0,0.0,0.0,0.0
289253,8.0,147.0,0.366845153219,5.0,0.0,6.0,0.0,0.0,4.0,3.0
298599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69778,35.0,1169.0,3.20390494025,60.0,0.0,72.0,8.0,0.0,0.0,5.0
75830,15.0,244.0,0.673035297829,3.0,0.0,13.0,1.0,0.0,1.0,1.0
327683,13.0,523.0,1.82302242457,59.0,0.0,68.0,0.0,0.0,2.0,1.0
8730,5.0,648.0,1.3061364709,7.0,0.0,23.0,3.0,0.0,0.0,0.0
8040,12.0,1120.0,2.1747019768,9.0,0.0,30.0,8.0,0.0,5.0,12.0
9156,38.0,1193.0,3.76273576373,26.0,0.0,73.0,9.0,0.0,0.0,5.0
121488,4.0,228.0,0.665434217244,5.0,0.0,17.0,1.0,0.0,0.0,0.0
134668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31558,3.0,264.0,0.957873259308,7.0,0.0,22.0,1.0,0.0,0.0,0.0
136396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23547,4.0,654.0,1.72672860307,44.0,0.0,27.0,2.0,0.0,0.0,0.0
9484,0.0,472.0,1.88824790113,6.0,80.0,1.0,1.0,0.0,0.0,0.0
14524,5.0,60.0,0.193496224621,2.0,0.0,0.0,0.0,0.0,0.0,0.0
330916,9.0,62.0,0.185904761128,2.0,0.0,3.0,0.0,0.0,0.0,1.0
84129,0.0,2.0,0.00566037735849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94024,10.0,134.0,0.510102313996,4.0,0.0,9.0,1.0,0.0,0.0,0.0
70140,19.0,1267.0,3.11356206451,20.0,0.0,79.0,10.0,0.0,0.0,2.0
136945,36.0,244.0,1.12606286145,5.0,0.0,19.0,2.0,0.0,1.0,3.0
12124,2.0,451.0,1.42752797871,68.0,0.0,17.0,2.0,0.0,3.0,1.0
35371,8.0,129.0,0.653107196739,19.0,0.0,5.0,3.0,0.0,3.0,2.0
9734,20.0,1479.0,3.16441002203,11.0,0.0,54.0,3.0,0.0,0.0,3.0
14038,1.0,35.0,0.210864773074,1.0,0.0,4.0,1.0,0.0,0.0,1.0
3807,7.0,293.0,1.20455170276,171.0,0.0,4.0,3.0,0.0,7.0,2.0
90000,12.0,351.0,1.07804610728,2.0,0.0,8.0,2.0,1.0,2.0,2.0
8462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466,0.0,634.0,1.95365585203,59.0,0.0,25.0,8.0,0.0,0.0,2.0
332124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322652,0.0,0.0,0.00473933649289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248351,24.0,225.0,0.934725912635,6.0,0.0,22.0,1.0,0.0,0.0,2.0
21686,15.0,427.0,2.00150635893,23.0,0.0,36.0,3.0,0.0,1.0,0.0
8943,2.0,30.0,0.0721015917837,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21682,1.0,100.0,0.661259292925,1.0,41.0,0.0,0.0,0.0,0.0,0.0
21683,33.0,1186.0,2.38578710726,22.0,0.0,51.0,3.0,0.0,8.0,7.0
8194,7.0,1015.0,2.55919697846,22.0,0.0,34.0,5.0,1.0,1.0,0.0
8195,0.0,508.0,2.00948291091,10.0,91.0,0.0,1.0,0.0,0.0,0.0
19119,30.0,1889.0,3.40488540479,52.0,0.0,81.0,4.0,2.0,2.0,1.0
9767,25.0,832.0,2.57856429752,22.0,0.0,38.0,2.0,0.0,7.0,5.0
255777,1.0,21.0,0.0516184696316,1.0,0.0,1.0,0.0,0.0,0.0,0.0
135732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35691,4.0,769.0,2.61803297342,46.0,0.0,94.0,9.0,0.0,0.0,0.0
138695,0.0,26.0,0.0676951723713,3.0,0.0,1.0,0.0,0.0,0.0,0.0
85059,142.0,556.0,3.12786860655,13.0,0.0,75.0,8.0,0.0,7.0,9.0
36849,24.0,1314.0,3.61761555872,33.0,0.0,79.0,5.0,1.0,1.0,1.0
103837,8.0,834.0,2.14118537411,48.0,0.0,39.0,1.0,0.0,1.0,3.0
3860,8.0,189.0,1.00837655252,66.0,0.0,8.0,1.0,0.0,4.0,2.0
14621,0.0,16.0,0.0523560209424,2.0,0.0,2.0,0.0,0.0,0.0,0.0
133445,7.0,71.0,0.429813584787,9.0,0.0,5.0,0.0,0.0,1.0,0.0
243562,22.0,251.0,0.893656978652,35.0,0.0,24.0,1.0,0.0,2.0,0.0
244565,1.0,88.0,0.312512948793,11.0,0.0,9.0,0.0,0.0,0.0,0.0
331928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34974,2.0,29.0,0.175954547751,3.0,0.0,6.0,0.0,0.0,0.0,0.0
331924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130334,57.0,252.0,1.55767718642,13.0,0.0,17.0,3.0,2.0,0.0,3.0
29820,5.0,462.0,1.21320182021,13.0,0.0,31.0,1.0,0.0,1.0,0.0
31958,1.0,329.0,0.602310667251,18.0,0.0,21.0,3.0,0.0,0.0,0.0
8408,2.0,1410.0,3.40488868918,82.0,0.0,53.0,7.0,1.0,1.0,3.0
71345,1.0,410.0,0.899193735989,48.0,0.0,12.0,0.0,0.0,1.0,1.0
69517,75.0,466.0,2.36721794207,57.0,0.0,32.0,4.0,2.0,9.0,3.0
11530,1.0,450.0,2.85171439548,8.0,116.0,0.0,2.0,0.0,0.0,0.0
34876,11.0,1056.0,3.43239707004,59.0,0.0,42.0,3.0,1.0,0.0,2.0
41589,3.0,414.0,1.15958706577,10.0,0.0,27.0,2.0,0.0,1.0,0.0
243511,5.0,469.0,1.64513157452,27.0,0.0,35.0,2.0,0.0,0.0,0.0
13056,20.0,402.0,2.04397655624,23.0,0.0,87.0,3.0,0.0,2.0,1.0
82972,22.0,1195.0,2.88660526978,17.0,0.0,62.0,4.0,0.0,0.0,1.0
83297,2.0,22.0,0.130495927074,7.0,0.0,1.0,0.0,0.0,1.0,0.0
43948,0.0,15.0,0.0754593889312,0.0,6.0,0.0,0.0,0.0,0.0,0.0
83357,5.0,564.0,1.42492952331,24.0,0.0,36.0,5.0,0.0,0.0,0.0
