Date, MatchId, home_team_id, home_team_name, away_team_id, away_team_name, half_time_score,, full_time_score,, home_prob, draw_prob, away_prob, home_odds, draw_odds, away_odds, odds_home_prob, odds_draw_prob, odds_away_prob, model_pred, odds_pred, model_correct?, odds_correct?, payout
6/11/16 12:00,1080616,13,Arsenal,30,Tottenham,1,0,1,1,0.480229236,0.211038832,0.308731932,1.95,3.6,4.2,0.49851632,0.270029674,0.231454006,0,0,0,0,0
5/11/16 15:00,1080617,183,Bournemouth,16,Sunderland,1,1,1,2,0.53643174,0.233884662,0.229683599,1.65,4.2,5.5,0.5907173,0.232067511,0.17721519,0,0,0,0,0
5/11/16 15:00,1080618,184,Burnley,162,Crystal Palace,2,0,3,2,0.366218351,0.272717597,0.361064052,3.3,3.3,2.38,0.29528536,0.29528536,0.40942928,0,2,1,0,3.3
5/11/16 17:30,1080619,15,Chelsea,31,Everton,3,0,5,0,0.50409434,0.21697531,0.27893035,1.53,4.33,7,0.636164626,0.224787963,0.139047411,0,0,1,1,1.53
26/11/2016 15:00:00,1080620,14,Leicester,21,Middlesbrough,1,1,2,2,0.370494514,0.258346432,0.371159054,1.91,3.6,4.5,0.511508951,0.271383916,0.217107133,2,0,0,0,0
6/11/16 14:15,1080621,26,Liverpool,27,Watford,3,0,6,1,0.603422094,0.200945066,0.19563284,1.29,6,12,0.756143667,0.162570888,0.081285444,0,0,1,1,1.29
26/11/2016 15:00:00,1080622,26,Liverpool,16,Sunderland,0,0,2,0,0.633506441,0.197712017,0.168781542,1.17,8.5,19,0.833871176,0.114779915,0.051348909,0,0,1,1,1.17
5/11/16 15:00,1080623,167,Man City,21,Middlesbrough,1,0,1,1,0.56618673,0.20188366,0.23192961,1.22,7,15,0.796419903,0.138804612,0.064775485,0,0,0,0,0
27/11/2016 16:30:00,1080624,32,Man United,29,West Ham,1,1,1,1,0.541059536,0.212142332,0.246798132,1.45,4.75,8,0.672715202,0.205355167,0.12192963,0,0,0,0,0
6/11/16 15:00,1080625,259,Swansea,32,Man United,0,3,1,3,0.37457005,0.232071226,0.393358724,5,4,1.73,0.194545966,0.243182457,0.562271577,2,2,1,1,1.73
27/11/2016 16:30:00,1080626,18,Southampton,31,Everton,1,0,1,0,0.447354588,0.232478263,0.320167149,2.2,3.4,3.6,0.442836469,0.286541245,0.270622287,0,0,1,1,2.2
5/11/16 15:00,1080627,29,West Ham,96,Stoke,0,0,1,1,0.441332179,0.243172777,0.315495045,2,3.6,4,0.486486486,0.27027027,0.243243243,0,0,0,0,0
26/11/2016 15:00:00,1080628,259,Swansea,162,Crystal Palace,1,1,5,4,0.461070355,0.24831057,0.290619075,2.63,3.4,2.88,0.372200514,0.287908045,0.339891442,0,0,1,1,2.63
19/11/2016 15:00:00,1080629,162,Crystal Palace,167,Man City,0,1,1,2,0.310791247,0.225619782,0.463588971,6.5,4.5,1.53,0.149414063,0.215820313,0.634765625,2,2,1,1,1.53
27/11/2016 12:00:00,1080630,27,Watford,96,Stoke,0,1,0,1,0.402345446,0.25421017,0.343444384,2.4,3.3,3.3,0.407407407,0.296296296,0.296296296,0,0,0,0,0
19/11/2016 15:00:00,1080631,31,Everton,259,Swansea,0,1,1,1,0.468598969,0.23579414,0.29560689,1.6,4.33,6,0.611179072,0.225839842,0.162981086,0,0,0,0,0
4/12/16 13:30,1080632,183,Bournemouth,26,Liverpool,0,2,4,3,0.367593569,0.223907055,0.408499376,5,4,1.75,0.195804196,0.244755245,0.559440559,2,2,0,0,0
19/11/2016 12:30:00,1080633,32,Man United,13,Arsenal,0,0,1,1,0.442525228,0.213423978,0.344050794,2.6,3.4,2.9,0.375762195,0.287347561,0.336890244,0,0,0,0,0
3/12/16 15:00,1080634,162,Crystal Palace,18,Southampton,2,0,3,0,0.378040744,0.247963986,0.37399527,3.5,3.3,2.3,0.279146745,0.29606473,0.424788525,0,2,1,0,3.5
20/11/2016 16:00:00,1080635,21,Middlesbrough,15,Chelsea,0,1,0,1,0.376848332,0.230979055,0.392172612,7,4,1.57,0.138723216,0.242765628,0.618511155,2,2,1,1,1.57
6/11/16 14:15,1080636,214,Hull,18,Southampton,0,1,2,1,0.373177977,0.245993883,0.38082814,5.75,3.8,1.7,0.169620586,0.256662728,0.573716686,2,2,0,0,0
4/12/16 16:00,1080637,31,Everton,32,Man United,0,1,1,1,0.405319621,0.226635846,0.368044533,3.6,3.5,2.15,0.270052037,0.277767809,0.452180154,0,2,0,0,0
19/11/2016 15:00:00,1080638,18,Southampton,26,Liverpool,0,0,0,0,0.37785736,0.223969261,0.39817338,3.4,3.6,2.2,0.286541245,0.270622287,0.442836469,2,2,0,0,0
6/11/16 16:30,1080639,14,Leicester,175,West Brom,0,0,1,2,0.448321124,0.270682447,0.280996429,1.8,3.6,5.25,0.542635659,0.271317829,0.186046512,0,0,0,0,0
3/12/16 12:30,1080640,167,Man City,15,Chelsea,1,0,1,3,0.502648582,0.202998371,0.294353048,2.15,3.6,3.6,0.455696203,0.272151899,0.272151899,0,0,0,0,0
19/11/2016 15:00:00,1080641,96,Stoke,183,Bournemouth,0,1,0,1,0.400436787,0.243541286,0.356021927,2.3,3.4,3.4,0.425,0.2875,0.2875,0,0,0,0,0
17/12/2016 15:00:00,1080642,96,Stoke,14,Leicester,2,0,2,2,0.458377584,0.255605752,0.286016663,2.6,3.4,2.9,0.375762195,0.287347561,0.336890244,0,0,0,0,0
5/12/16 20:00,1080643,21,Middlesbrough,214,Hull,0,0,1,0,0.476268185,0.24307074,0.280661075,1.83,3.5,5.25,0.534351145,0.279389313,0.186259542,0,0,1,1,1.83
19/11/2016 15:00:00,1080644,16,Sunderland,214,Hull,1,0,3,0,0.374003228,0.266595758,0.359401014,2.15,3.4,3.8,0.454929577,0.287676056,0.257394366,0,0,1,1,2.15
