"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"F","Javier Chicharito",6800,"WHU vs NEW 10:00AM ET",8.850,"WHU"
"M/F","Johann Berg Gudmundsson",6700,"BUR vs TOT 12:30PM ET",9.190,"BUR"
"D","Kieran Trippier",6500,"BUR vs TOT 12:30PM ET",10.375,"TOT"
"M","Dusan Tadic",6500,"SOU vs HUD 10:00AM ET",8.188,"SOU"
"M/F","Marko Arnautovic",6500,"WHU vs NEW 10:00AM ET",7.694,"WHU"
"D","Danny Rose",6400,"BUR vs TOT 12:30PM ET",9.464,"TOT"
"M/F","Eric Maxim Choupo-Moting",6400,"STK vs WBA 10:00AM ET",7.500,"STK"
"M/F","Michail Antonio",6300,"WHU vs NEW 10:00AM ET",7.125,"WHU"
"D","Jose Holebas",6200,"BHA vs WAT 10:00AM ET",9.482,"WAT"
"M/F","Nathan Redmond",6200,"SOU vs HUD 10:00AM ET",5.985,"SOU"
"D","Ben Davies",6100,"BUR vs TOT 12:30PM ET",9.071,"TOT"
"M","James Ward-Prowse",6100,"SOU vs HUD 10:00AM ET",4.946,"SOU"
"F","Glenn Murray",6000,"BHA vs WAT 10:00AM ET",5.266,"BHA"
"D","Serge Aurier",6000,"BUR vs TOT 12:30PM ET",9.563,"TOT"
"GK","Ederson Ederson",6000,"MCI vs BOU 10:00AM ET",9.080,"MCI"
"GK","Claudio Bravo",5900,"MCI vs BOU 10:00AM ET",3.000,"MCI"
"F","Phil Foden",5900,"MCI vs BOU 10:00AM ET",2.667,"MCI"
"M","Matt Phillips",5900,"STK vs WBA 10:00AM ET",6.721,"WBA"
"M","Anthony Knockaert",5800,"BHA vs WAT 10:00AM ET",6.706,"BHA"
"F","Steve Mounie",5800,"SOU vs HUD 10:00AM ET",6.125,"HUD"
"M","Mame Biram Diouf",5800,"STK vs WBA 10:00AM ET",8.338,"STK"
"M","Will Hughes",5700,"BHA vs WAT 10:00AM ET",8.650,"WAT"
"GK","Hugo Lloris",5700,"BUR vs TOT 12:30PM ET",8.038,"TOT"
"F"," Jese",5700,"STK vs WBA 10:00AM ET",4.778,"STK"
"F","Tomer Hemed",5600,"BHA vs WAT 10:00AM ET",4.667,"BHA"
"GK","Michel Vorm",5600,"BUR vs TOT 12:30PM ET",10.000,"TOT"
"M","Georges-Kevin Nkoudou",5600,"BUR vs TOT 12:30PM ET",8.917,"TOT"
"GK","Fraser Forster",5500,"SOU vs HUD 10:00AM ET",7.111,"SOU"
"M","Steven Davis",5500,"SOU vs HUD 10:00AM ET",6.773,"SOU"
"F","Andre Ayew",5500,"WHU vs NEW 10:00AM ET",5.083,"WHU"
"GK","Alex McCarthy",5400,"SOU vs HUD 10:00AM ET",0,"SOU"
"D","Ryan Bertrand",5400,"SOU vs HUD 10:00AM ET",7.810,"SOU"
"M","Sofiane Boufal",5400,"SOU vs HUD 10:00AM ET",4.946,"SOU"
"F","Christian Benteke",5400,"SWA vs CRY 10:00AM ET",3.731,"CRY"
"F","Andy Carroll",5400,"WHU vs NEW 10:00AM ET",2.344,"WHU"
"M","Tom Cleverley",5300,"BHA vs WAT 10:00AM ET",6.132,"WAT"
"M","Ilkay Gundogan",5300,"MCI vs BOU 10:00AM ET",3.868,"MCI"
"F","Jordan Ayew",5300,"SWA vs CRY 10:00AM ET",7.875,"SWA"
"F","Diafra Sakho",5300,"WHU vs NEW 10:00AM ET",3.583,"WHU"
"F","Dwight Gayle",5300,"WHU vs NEW 10:00AM ET",4.817,"NEW"
"F","Manolo Gabbiadini",5200,"SOU vs HUD 10:00AM ET",3.132,"SOU"
"M","Ruben Loftus-Cheek",5200,"SWA vs CRY 10:00AM ET",7.446,"CRY"
"D","Arthur Masuaku",5200,"WHU vs NEW 10:00AM ET",6.558,"WHU"
"D","Kyle Walker",5100,"MCI vs BOU 10:00AM ET",6.685,"MCI"
"M","Junior Stanislas",5100,"MCI vs BOU 10:00AM ET",8.111,"BOU"
"F","Callum Wilson",5100,"MCI vs BOU 10:00AM ET",7.563,"BOU"
"GK","Jack Butland",5100,"STK vs WBA 10:00AM ET",4.313,"STK"
"M/F","Jay Rodriguez",5100,"STK vs WBA 10:00AM ET",5.309,"WBA"
"F","Tammy Abraham",5100,"SWA vs CRY 10:00AM ET",6.484,"SWA"
"M","Solly March",5000,"BHA vs WAT 10:00AM ET",5.250,"BHA"
"M/F","Troy Deeney",5000,"BHA vs WAT 10:00AM ET",3.615,"WAT"
"D"," Danilo",5000,"MCI vs BOU 10:00AM ET",4.854,"MCI"
"D","Cedric Soares",5000,"SOU vs HUD 10:00AM ET",7.237,"SOU"
"F","Laurent Depoitre",5000,"SOU vs HUD 10:00AM ET",4.783,"HUD"
"GK","Lee Grant",5000,"STK vs WBA 10:00AM ET",1.000,"STK"
"M","Chris Brunt",5000,"STK vs WBA 10:00AM ET",6.982,"WBA"
"GK"," Adrian",5000,"WHU vs NEW 10:00AM ET",10.375,"WHU"
"D","Jeremy Pied",4900,"SOU vs HUD 10:00AM ET",9.500,"SOU"
"M","Josh Sims",4900,"SOU vs HUD 10:00AM ET",0,"SOU"
"F","Shane Long",4900,"SOU vs HUD 10:00AM ET",4.028,"SOU"
"M/F","Nacer Chadli",4900,"STK vs WBA 10:00AM ET",4.750,"WBA"
"GK","Julian Speroni",4900,"SWA vs CRY 10:00AM ET",5.667,"CRY"
"D","Martin Olsson",4900,"SWA vs CRY 10:00AM ET",6.813,"SWA"
"M","Renato Sanches",4900,"SWA vs CRY 10:00AM ET",5.722,"SWA"
"F","Wilfried Bony",4900,"SWA vs CRY 10:00AM ET",5.475,"SWA"
"GK","Joe Hart",4900,"WHU vs NEW 10:00AM ET",4.794,"WHU"
"D","Aaron Cresswell",4900,"WHU vs NEW 10:00AM ET",8.153,"WHU"
"F","Antonio Martinez",4900,"WHU vs NEW 10:00AM ET",0,"WHU"
"GK","Mat Ryan",4800,"BHA vs WAT 10:00AM ET",5.979,"BHA"
"F","Andre Gray",4800,"BHA vs WAT 10:00AM ET",3.444,"WAT"
"D","Fabian Delph",4800,"MCI vs BOU 10:00AM ET",5.618,"MCI"
"M","Ryan Fraser",4800,"MCI vs BOU 10:00AM ET",6.525,"BOU"
"F","Joshua King",4800,"MCI vs BOU 10:00AM ET",8.566,"BOU"
"D","Matt Targett",4800,"SOU vs HUD 10:00AM ET",0,"SOU"
"M","Rajiv van La Parra",4800,"SOU vs HUD 10:00AM ET",6.000,"HUD"
"F","Peter Crouch",4800,"STK vs WBA 10:00AM ET",3.143,"STK"
"M/F","Hal Robson-Kanu",4800,"STK vs WBA 10:00AM ET",5.031,"WBA"
"GK","Wayne Hennessey",4800,"SWA vs CRY 10:00AM ET",6.154,"CRY"
"D","Patrick van Aanholt",4800,"SWA vs CRY 10:00AM ET",4.472,"CRY"
"M","Tom Carroll",4800,"SWA vs CRY 10:00AM ET",6.188,"SWA"
"GK","Tim Krul",4700,"BHA vs WAT 10:00AM ET",0,"BHA"
"GK","Heurelho Gomes",4700,"BHA vs WAT 10:00AM ET",4.861,"WAT"
"F","Ashley Barnes",4700,"BUR vs TOT 12:30PM ET",3.500,"BUR"
"D","Nicolas Otamendi",4700,"MCI vs BOU 10:00AM ET",6.663,"MCI"
"M","Tom Ince",4700,"SOU vs HUD 10:00AM ET",6.735,"HUD"
"F","Collin Quaner",4700,"SOU vs HUD 10:00AM ET",4.325,"HUD"
"M","Bakary Sako",4700,"SWA vs CRY 10:00AM ET",4.250,"CRY"
"F","Levi Lumeka",4700,"SWA vs CRY 10:00AM ET",5.500,"CRY"
"D","Jesus Gamez",4700,"WHU vs NEW 10:00AM ET",5.875,"NEW"
"M","Christian Atsu",4700,"WHU vs NEW 10:00AM ET",7.016,"NEW"
"F"," Joselu",4700,"WHU vs NEW 10:00AM ET",5.719,"NEW"
"GK","Orestis Karnezis",4600,"BHA vs WAT 10:00AM ET",3.571,"WAT"
"D","Daryl Janmaat",4600,"BHA vs WAT 10:00AM ET",7.125,"WAT"
"M","Abdoulaye Doucoure",4600,"BHA vs WAT 10:00AM ET",6.986,"WAT"
"F","Stefano Okaka",4600,"BHA vs WAT 10:00AM ET",3.833,"WAT"
"F","Chris Wood",4600,"BUR vs TOT 12:30PM ET",5.167,"BUR"
"M","Yaya Toure",4600,"MCI vs BOU 10:00AM ET",2.200,"MCI"
"D","Sam McQueen",4600,"SOU vs HUD 10:00AM ET",0.167,"SOU"
"F","Saido Berahino",4600,"STK vs WBA 10:00AM ET",1.594,"STK"
"GK","Lukasz Fabianski",4600,"SWA vs CRY 10:00AM ET",7.816,"SWA"
"F","Aleksandar Mitrovic",4600,"WHU vs NEW 10:00AM ET",6.025,"NEW"
"D","Marvin Zeegelaar",4500,"BHA vs WAT 10:00AM ET",4.850,"WAT"
"M/F","Jamie Murphy",4500,"BHA vs WAT 10:00AM ET",2.125,"BHA"
"F","Jose Izquierdo",4500,"BHA vs WAT 10:00AM ET",3.857,"BHA"
"F","Isaac Success",4500,"BHA vs WAT 10:00AM ET",0,"WAT"
"D","Kyle Walker-Peters",4500,"BUR vs TOT 12:30PM ET",4.333,"TOT"
"GK","Erwin Mulder",4500,"SWA vs CRY 10:00AM ET",0,"SWA"
"GK","Kristoffer Nordfeldt",4500,"SWA vs CRY 10:00AM ET",0,"SWA"
"D","Joel Ward",4500,"SWA vs CRY 10:00AM ET",6.607,"CRY"
"F","Connor Wickham",4500,"SWA vs CRY 10:00AM ET",0,"CRY"
"M","Mikel Merino",4500,"WHU vs NEW 10:00AM ET",6.750,"NEW"
"D","Ales Mateju",4400,"BHA vs WAT 10:00AM ET",0,"BHA"
"D","Kiko Femenia",4400,"BHA vs WAT 10:00AM ET",6.533,"WAT"
"M/F","Jordon Ibe",4400,"MCI vs BOU 10:00AM ET",6.328,"BOU"
"F","Jermain Defoe",4400,"MCI vs BOU 10:00AM ET",4.850,"BOU"
"GK","Ben Foster",4400,"STK vs WBA 10:00AM ET",3.853,"WBA"
"M","James McClean",4400,"STK vs WBA 10:00AM ET",5.013,"WBA"
"F","Salomon Rondon",4400,"STK vs WBA 10:00AM ET",4.607,"WBA"
